root_id	root_form	root_meaning_en	tla_root_form	tla_root_id	tla_root_meaning_en	tla_root_meaning_de
926	ṯrḥ					
927	ṯrm		ṯrm	877400		[zwinkern]
928	ṯrp		ṯrp	877499		[Gans]
929	tnr		tnr	878402		[Ofen]
930	ṯrw		ṯrw	877496		[sich freuen]
931	ṯrꜥ					
932	ṯzj		ṯzi̯	873815		[erheben]
933	ṯzj		ṯzi̯	873815		[erheben]
934	ṯṯ					
935	ṯtf		ṯtf	875888		[ausschütten; steigen]
936	ṯwf		ṯwf	877379		[Papyrus]
937	twtj		tj	871775		[treten; traben]
938	twꜣ		twꜣ	873830		[hochheben; stützen]
939	ṯzj		ṯzi̯	873815		[erheben]
940	tꜣ		tꜣ	878120		[Erde]
941	ṯꜣw		jṯꜣ	864296		[nehmen; stehlen]
942	ṯꜣw		ṯꜣw	877331		[Luft]
943	ṯꜣj		ṯꜣi̯	875840		[nehmen]
944	tḫ		tḫ	878429		[mischen]
945	ṯꜣm					
946	tꜣš		tꜣš	878144		[Grenze]
947	ṯꜣz		ṯꜣz	873818		[knoten]
948	w		w	867107		[Bezirk]
949	wbḫ		wbḫ	867302		[leuchten]
950	wbn		wbn	867296		[aufgehen]
951	wbꜣ		wbꜣ	867290		[gegen]
952	wdj		wdi̯	868874		[legen]
953	wḏ		wḏ	867239		[befehlen]
954	wḏb		wḏb	868835		[umwenden]
955	wdḥ		wdḥ	868844		[schütten; opfern]
956	wḏḥ		wḏḥ	868841		[entwöhnen; reifen]
957	wdn		wdn	868883		[schwer sein; niederlegen; opfern]
958	wḏꜣ		wḏꜣ	868862		[gehen]
959	wḏꜣ		wḏꜣ	868859		[heil sein]
960	wḏꜥ		wḏꜥ	868856		[trennen]
961	wft		wft	867338		[durchbohren]
962	wfꜣ		wfꜣ	867275		[Lunge]
963	wgj		wgi̯	868814		[kauen]
964	wgp		wgp	868817		[zerstören]
965	wgs		wgs	868820		[aufschneiden]
966	wgj		wgi̯	868814		[kauen]
967	whj		whi̯	867230		[verfehlen]
968	wḥ		wḥ	868715		[bellen]
970	wḥm		wḥm	868721		[wiederholen]
971	whr		whr	867554		[Hund]
972	wḫr		wḫr	867233		[bearbeiten; (sich) abmühen]
973	wḥꜣ		wḥꜣ	867566		[brechen]
974	wḫꜣ		wḫꜣ	867506		[suchen]
975	wḫꜣ					
976	wḥꜥ		wḥꜥ	867569		[lösen]
977	wḥꜥ		wḥꜥ	867569		[lösen]
978	wḥꜥ		wḥꜥ	867569		[lösen]
979	wmt		wmt	867341		[dick]
980	wn		wn	867224		[öffnen]
981	wn		wn	867224		[öffnen]
982	wnj		wni̯	867227		[eilen]
983	wn		wnn	867347		[existieren]
984	wn		wn	867224		[öffnen]
985	wnn		wnn	867347		[existieren]
986	wnḏ		wnḏ	867416		[Höhlung]
987	wnf		wnf	867377		[lösen; jubeln]
988	wnm		wnm	867386		[essen]
989	wnp		wnp	867383		[erstechen]
990	wnš		wnš	867401		[Schakal]
991	wpj		wpi̯	867293		[öffnen]
992	wrr		wrr	867281		[groß sein]
993	wrḥ		wrḥ	867491		[freilassen]
994	wrm		wrm	867482		[anschwellen]
995	wrm		wrm	867482		[anschwellen]
996	wrs		wrs	867518		[Stütze]
997	wršw		wršu̯	867521		[wach sein]
998	wsj		wsi̯	868751		[sägen]
999	wḫꜣ		wḫꜣ	867503		[ausleeren]
1000	wš					
1001	wš		wš	868772		[zerstören]
1002	wš		wš	868772		[zerstören]
1003	wšb		wšb	868787		[antworten]
1004	wšd		wšd	868805		[anreden]
1005	wzf		wzf	868739		[träge sein]
1006	wsḫ		wsḫ	868763		[weit sein]
1007	wsr		wsr	868754		[mächtig sein]
1008	wšm		wšm	868793		[vermengen]
1009	wsr		wsr	868754		[mächtig sein]
1010	wsr		wsr	868754		[mächtig sein]
1011	wšr		wšr	868802		[trocknen]
1012	wzš		wzš	868736		[harnen]
1013	wsṯn		wsṯn	868769		[ungehindert schreiten]
1014	wšꜥ		wšꜥ	868781		[verzehren]
1015	wtn		wtn	868838		[durchbohren]
1016	ꜥwꜣj		ꜥwꜣ	866612		[faulen]
1017	wꜣ					
1018	wꜣj		wꜣi̯	867113		[fern sein]
1019	wꜣ		wꜣ	867119		[grübeln; (Böses) planen; konspirieren]
1020	wꜣḏ		wꜣḏ	867194		[gedeihen]
1021	wꜣḥ		wꜣḥ	867164		[legen]
1022	wḥꜥ		wꜣḥ	867164		[legen]
1023	wꜣḥ		wꜣḥ	867164		[legen]
1024	wꜣr		wꜣr	867161		[schnüren]
1025	wꜣr		wꜣr	867155		[Musik]
1026	wꜥꜥ		wꜥꜥ	867248		[einzig sein]
1027	wꜥb		wꜥb	867257		[rein sein]
1028	wꜥr		wꜥr	867269		[fliehen]
1029	wꜥr		wꜥr	867269		[fliehen]
1030	wꜥꜣ		wꜥꜣ	867221		[schmähen]
1031	ym		ym	864692		[Meer]
1032	yꜣ					
1033	znḥm		znḥm	874763		[Heuschrecke]
1034	ꜣwj		ꜣwi̯	863291		lang sein
1035	ꜥw		ꜥw	863897		[Stück; Arm]
1036	ꜣbd		ꜣbd	863984		[Monat]
1037	jꜥb		jꜥb	864431		[vereinigen]
1038	ꜥj		ꜥꜣi̯	866252		[groß sein]
1039	ꜥbꜣ		ꜥbꜣ	863954		[einwirken; darbringen]
1041	ꜣgbj		ꜣgbi̯	863981		[überfließen]
1042	ꜣh		ꜣh	863879		[bekümmert sein]
1043	ꜥḏn		ꜥḏn	867092		[zerstören]
1044	ꜣḫ		jꜣḫ	864371		[glänzen]
1045	ꜣḫj		ꜥfd	866696		[Nagel]
1046	ꜣr					
1047	ꜣmm		ꜣmm	864014		[ergreifen]
1048	ꜥgrt					
1049	ꜣpd		ꜣpd	863993		[Vogel]
1050	ꜣq		ꜣq	864188		[zugrunde gehen]
1051	ꜣrr		ꜣrr	864065		[Enttäuschung (?); ungeduldig sein (?)]
1052	ꜣs		ꜣs	864143		[Isis]
1053	ꜣs		ꜣs	864137		[eilen; fließen]
1054	ꜥḥꜥ		ꜥḥꜥ	866957		[stehen]
1055	ꜣšr		ꜣšr	864185		[grillen; rösten]
1056	ꜥm		ꜥm	866699		[verschlucken]
1057	ꜣṯp		ꜣṯp	864254		[beladen]
1058	ꜥmḏ		ꜥmḏ	866729		[abwenden]
1059	ꜥmr		ꜥmr	866717		[Bäcker]
1060	ꜥmj		ꜥmj	866702		[verschmieren]
1061	ꜥnn		ꜥnn	864881		[umwenden]
1062	ꜥjn		ꜥni̯	866603		[schön sein]
1063	ꜥnn		ꜥnn	864881		[umwenden]
1064	ꜥnn		ꜥnn	864881		[umwenden]
1065	ꜥnb		ꜥnb	866897		[binden]
1066	ꜥnḏ		ꜥnḏ	866918		[wenig sein]
1067	jnḥ		jnḥ	865733		[umgeben; einschließen; umzingeln]
1068	ꜥnḫ		ꜥnḫ	866909		[(sozial) (ein)gebunden sein; leben]
1069	ꜥnḫ		ꜥnḫ	866909		[(sozial) (ein)gebunden sein; leben]
1070	ꜥnḫ		ꜥnḫ	866909		[(sozial) (ein)gebunden sein; leben]
1071	jnq		jnq	865751		[umfassen]
1072	ꜥpšꜣ		ꜥpšꜣ	866669		[Käfer]
1073	ꜥq		ꜥq	866594		[eintreten]
1074	jꜥr		jꜥr	863279		aufsteigen
1075	ꜥrꜥr					
1076	jꜥr		jꜥr	863279		aufsteigen
1077	jꜥr		jꜥr	863279		aufsteigen
1078	jꜥr		jꜥr	863279		aufsteigen
1079	ꜥrḏ		ꜥrḏ	866951		[fest machen]
1080	ꜥrq		ꜥrq	866948		[vollenden]
1081	ꜥrq		ꜥrq	864080		[umbinden]
1082	ꜥrq		ꜥrq	864080		[umbinden]
1083	ꜥršn					
1084	ꜥšj		ꜥš	866591		[rufen]
1085	ꜥšꜣ		ꜥšꜣ	867029		[viel]
1086	ꜥšꜣ		ꜥšꜣ	867029		[viel]
1087	sdꜣ		sdꜣ	866000		[zittern]
1088	dgꜣ					
1089	mḏḥ					
1090	mḏḥ		mḏḥ	871808		[zurichten]
1091	mdn		mdn	871793		[ruhig sein]
1092	dꜣ		sdꜣ	866000		[zittern]
1093	ḏꜣj		ḏꜣi̯	870755		[überqueren]
1094	ḏꜣj		ḏꜣi̯	870755		[überqueren]
1095	sgb		sgb	876911		[schreien]
1096	sgꜣ					
1097	zḥ		zḥ	874787		[Zelt]
1098	zḫj		zḫi̯	872378		[schlagen]
1099	sḫj		sḫi̯	876653		[bitter sein]
1100	sḫ		sḫ	871661		[breit sein]
1101	sḫt		sḫt	870560		[zurichten]
1102	zẖꜣ		zẖꜣ	874808		[schreiben]
1103	zẖj		zẖi̯	874802		[taub sein]
1104	sẖb		sẖb	876668		[einschlürfen]
1105	ḥḏ		ḥḏ	870590		[weiß]
1106	nḥḥ					
1107	nḥm		nḥm	872228		[fortnehmen; retten]
1108	ḫm		sḫm	875876		[mächtig sein]
1111	zḫnj		zḫni̯	874793		[umfassen]
1112	zḫnj		zḫni̯	874793		[umfassen]
1113	zḫnj		zḫni̯	874793		[umfassen]
1114	nhpj		nhpi̯	870626		[trauern]
1115	nhp		nhp	870623		[tatkräftig sein]
1116	nhr		nhr	872189		[Schrecken]
1117	sḫr		sḫr	876176		[Plan]
1118	nhzj		nhzi̯	870629		[wach sein]
1119	nhzj		nhzi̯	870629		[wach sein]
1120	nḥj		nḥi̯	872210		[erbitten]
1121	rḫt		rḫt	871241		[waschen]
1122	ḫwj		ḫt	873959		[hinten]
1123	ḫt		ḫt	873959		[hinten]
1124	nḫj		nḫt	872315		[stark sein]
1125	ḥwrw		ḥwrw	873014		[schwach sein]
1126	hꜣj		hꜣi̯	866237		[herabsteigen]
1127	skj		ski̯	870563		[untergehen]
1128	skꜣ		skꜣ	876893		[pflügen]
1129	ky		sk	876899		[fegen]
1130	skj		ski̯	870563		[untergehen]
1131	ktt		ktt	870602		[klein sein]
1132	zkr					
1133	skꜣ		skꜣ	876893		[pflügen]
1134	nqꜥ		nqꜥ	864077		[ritzen]
1135	sm		sm	876371		[versorgen]
1136	smj		smj	876404		[melden]
1137	smd		smd	876458		[wandern]
1138	wꜣḥ		mḥi̯	871586		[fluten]
1139	nmḥ		nmḥ	872129		[Waise]
1140	jmj		jmi̯	864707		[geben; veranlassen]
1141	nmt		nmi̯	864047		[fahren, reisen, gehen]
1142	mwt		mwt	871442		[sterben]
1143	smꜣ		smꜣ	876377		[Schläfe]
1144	smꜣ		smꜣ	865976		[töten; schlachten]
1145	snw		sn	875852		[riechen]
1146	snf		snf	876530		[Vorjahr]
1147	jnḥ		jnḥ	865733		[umgeben; einschließen; umzingeln]
1148	snḥ		snḥ	870689		[binden]
1149	snq		snq	876557		[säugen]
1150	nnšm		nnšm	871922		[Milz]
1151	nnyb		nnyb	872177		[Styrax]
1152	spd		spd	875867		[spitz sein]
1153	spdḏ					
1154	prj		pri̯	870221		[herausgehen]
1155	qbb		qbb	866057		[kühl sein]
1156	nqꜥ		nqꜥ	864077		[ritzen]
