MATCH	Root	Reconstruction	Gram_number	Gram_gender	Gram_form	Meaning_fr	Pages	Degree_Certainty	Relation_cpt__eg_forms	Coptic_S	Coptic_B	Coptic_A	Coptic_A2	Coptic_P	Coptic_F	Coptic_F0	Coptic_S0	Coptic_O	Coptic_B0	Coptic_A0	Coptic_M	Coptic_L	Coptic_G	Coptic_B_Gr	Coptic_Sf	Coptic_H	Coptic_A20	Coptic_Hf
2133	sm	*samīya.t		f		voix; renommée	188	very_likely	same	ⲥⲙⲏ	ⲥⲙⲏ																	
2134	smy	*simya.t			inf.	accuser	189	very_likely	same	ⲥⲙⲙⲉ	ⲥⲉⲙⲓ																	
2135	smt					forme; aspect; modèle; exemple	189	very_likely	same	ⲥⲙⲟⲧ	ⲥⲙⲟⲧ						ⲥⲙⲱⲧ, ⲥⲙⲟⲩⲧ											
2136	smt		pl			forme; aspect; modèle; exemple	189	very_likely	same		ⲥⲙⲱⲧ		ⲥⲙⲟⲟⲧ		ⲥⲙⲱⲱⲧ													
2139	smḥ					gerbe (fleurs); grappe (raisin); régime (dattes)	189	very_likely	same	ⲥⲙⲁϩ	ⲥⲙⲁϩ																	
2140	smḥ		pl			gerbe (fleurs); grappe (raisin); régime (dattes)	189	very_likely	same		ⲥⲙⲉϩ																	
2141	nmḥw	°namḥīỉ; *ramḥīꜣ				libre	175	very_likely	same	ⲣⲙϩⲉ	ⲣⲉⲙϩⲉ				ⲗⲉⲙϩⲏ													
2143	nmḥw					libre	175	very_likely	same		ⲣⲉⲙϩⲏ																	
2144	nmḥw			f		libre	175	very_likely	same	ⲣⲙϩⲏ																		
2145	ỉmy				imper.	donne; donnez	103	very_likely	same	ⲙⲁ, ⲙⲁ-, ⲙⲁⲁⲧ'=, ⲙⲏⲉⲓ'=	ⲙⲟⲓ, ⲙⲁ-, ⲙⲏⲓ'=, ⲙⲟⲓⲧ'=, ⲙⲏⲓⲧ'=	ⲙⲁ, ⲙⲁ-	ⲙⲁ, ⲙⲁ-		ⲙⲁ-, ⲙⲁⲓ-	ⲙⲁⲓ												
2146	nmt.t	*nāmita.t; *namta.t		f	part.	force	143	very_likely	same	ⲛⲟⲙⲧⲉ	ⲛⲟⲙϯ																	
2147	mt	°mawt; *māwet			inf.	tuer	128	very_likely	same	ⲙⲟⲩⲟⲩⲧ	ⲙⲱⲟⲩⲧ																	
2148	mt	°mawt; *māwet; *mā[wet]			inf.	mourir	128	very_likely	same	ⲙⲟⲩ	ⲙⲟⲩ	ⲙⲟⲩ, ⲙⲁⲩⲧ	ⲙⲟⲩ, ⲙⲁⲩⲧ		ⲙⲟⲩ, ⲙⲁⲩⲧ													
2149	smꜣ-wy		du			tempe; paupière	190	very_likely	same	ⲥⲙⲁⲁⲩ	ⲥⲙⲁⲩ						ⲥⲙⲁⲩ											
2150	s-mꜣꜥ	*samāꜥa.t		f		bénir; prier; glorifier	188	very_likely	same	ⲥⲙⲟⲩ	ⲥⲙⲟⲩ										ⲥⲙⲟⲩⲉ							
2151	snw.t			f		grenier; coffre	190	very_likely	same	ⲥⲏⲛⲉ	ⲥⲏⲓⲛⲓ																	
2152	snf					l'année dernière	193	very_likely	same	ⲥⲛⲟⲩϥ	ⲥⲛⲟⲩϥ																	
2153	ỉnḥ	*ỉanḥaw				cour; enclos	155	very_likely	related__not_same	ⲟⲛϩ	ⲟⲛϩ						ⲁⲛϩ, ⲁⲁⲛϩ, ⲁⲛⲉϩ, ⲁⲛⲁϩ, ⲁⲛⲛϩ, ⲁⲛ											
2154	snḥ	*sanāḥ-ū	pl			lien; fers	193	very_likely	related__not_same	ⲥⲛⲁⲩϩ	ⲥⲛⲁⲩϩ	ⲥⲛⲟⲟϩ, ⲥⲛⲱϩ																
2155	snḥ	*sanāḥ; *sanàḥ				lien; fers	193	very_likely	related__not_same		ⲥⲛⲁϩ																	
2156	snḥ				inf.	lier; ligoter; enchaîner	193	very_likely	same	ⲥⲱⲛϩ	ⲥⲱⲛϩ																	
2157	snq				inf.	sucer; boire	191	very_likely	same	ⲥⲱⲙⲕ, ⲥⲱⲙⲅ, ⲥⲱⲛⲕ	ⲥⲱⲛⲕ																	
2158	dy.t snq	*dy.t snq-ā			d-caus.|inf.	allaiter	222	very_likely	same	ⲧⲥⲙⲕⲟ, ⲧⲥⲛⲕⲟ																		
2159	nnšm					rate	141	very_likely	same	ⲛⲟⲉⲓϣ	ⲛⲱⲓϣ																	
2160	nnyb					styrax; gomme ou résine odorante employée comme encens	144	very_likely	same									ⲛⲉⲛⲉⲃⲉ										
2161	nnyb		pl			styrax; gomme ou résine odorante employée comme encens	144	very_likely	same									ⲛⲉⲛⲉⲉⲃ										
