MATCH__ID	MATCH__form	MATCH__meaning_en	MATCH__gram_number	MATCH__gram_gender	MATCH__pattern
1560				f	
1561					
1562					
1563					
1564					
1565			pl		
1566				f	
1567				f	
1568					
1569					
1570					
1571					
1572					
1573				f	
1574					rr-rr
1575					
1576				f	
1577					
1578			pl		
1579					
1580			pl		
1581					
1582					
1583					
1584					
1585				f	
1586					
1587			pl		
1588					
1589			du	f	
1590				f	
1591					
1592					rr-rr
1593				f	
1594				f	
1595					
1596				f	
1597			pl		
1598					
1599					
1600					
1601					
1602					
1603					
1604					s-
1605			pl		
1606					
1607					
1608					
1609					
1610				f	
1611					
1612					
1613					
1614					
1615					
1616					
1617					
1618					
1619					
1620				f	
1621				f	
1622					
1623					
1624					
1625					
1626				f	
1627			NN	NN	
1628					
1629					
1630			pl		
1631					
1632					
1633					
1634					
1635					
1636					
1637					
1638					
1639					
1640					
1641					
1642			pl		
1643					
1644				f	
1645					
1646				f	
1647					
1648				f	
1649					
1650				f	
1651			pl		
1652					
1653				f	m-
1654					
1655					
1656					
1657					rr-rr
1658					
1659					
1660					
1661					rr-rr
1662					rr-rr
1663					
1664				f	
1665					
1666					
1667					
1668					
1669					
1670			qual		
1671					
1672					
1673					
1674					
1675				f	
1676					
1677				f	m-
1678					
1679					
1680					
1681					
1682					
1683					
1684					
1685			sg.m.abs		j-
1686			NN	NN	
1687					x-rr
1688					
1689					
1690				f	
1691					
1692				f	
1693				f	
1694				f	
1695					
1696			NN	NN	
1697					
1698					
1699					rr-rr
1700					
1701					s-
1702					s-
1703				f	
1704					
1705					
1706					
1707					
1708					
1709					
1710					
1711					
1712					rr-rr
1713				f	
1714					
1715					
1716					
1717					xxrr
1718					
1719					
1720					
1721				f	
1722					
1723					
1724					
1725					xrr
1726					xrr
1727					
1728					
1729					
1730					
1731				f	
1732				f	
1733					
1734					
1735					
1736				f	
1737				f	
1738					
1739				f	
1740					
1741					
1742				f	
1743				f	
1744					
1745					
1746				f	
1747				f	s-
1748					s-
1749					s-
1750				f	
1751					
1752				f	
1753					
1754				f	
1755					
1756				f	
1757					
1758			pl		
1759					
1760					
1761			pl		
1762					
1763					
1764					
1765					
1766			f		
1767					m-
1768				f	
1769			NN	NN	
1770					
1771				f	
1772					
1773					
1774				f	
1775					
1776					
1777					
1778				f	
1779					
1780			pl		
1781			pl2		
1782					
1783					
1784					
1785					
1786					
1787					
1788					
1789					
1790					
1791				f	
1792				f	
1793					
1794					
1795					
1796				f	
1797				f	
1798					
1799					
1800				f	
1801					
1802					
1803					
1804					rr-rr
1805					rr-rr
1806				f	
1807					
1808					
1809				f	
1810					
1811			pl		
1812				f	
1813				f	
1814					
1815					
1816				f	
1817			pl	f	
1818					
1819				f	
1820					
1821					
1822					
1823					
1824					j-
1825					
1826					
1827					
1828					
1829					
1830				f	
1831					
1832					
1833				f	
1834			pl	f	
1835				f	
1836					
1837				f	
1838					
1839					
1840					
1841					
1842					
1843					
1844					
1845					
1846			pl		
1847					
1848				f	
1849			NN	NN	
1850			NN	NN	
1851					
1852				f	
1853					
1854					
1855					
1856					
1857				f	
1858					
1859					
1860					
1861				f	
1862					rr-rr
1863					
1864					
1865					
1866					
1867					
